Unnamed: 0,Date,Price (USD)
AU,2020-11-11,1860.95
AU,2020-11-10,1878.7
AU,2020-11-09,1867.3
AU,2020-11-06,1940.8
AU,2020-11-05,1938.45
AU,2020-11-04,1900.15
AU,2020-11-03,1908.3
AU,2020-11-02,1889.9
AU,2020-10-30,1881.85
AU,2020-10-29,1870.3
AU,2020-10-28,1869.95
AU,2020-10-27,1905.7
AU,2020-10-26,1898.45
AU,2020-10-23,1903.65
AU,2020-10-22,1900.95
AU,2020-10-21,1924.15
AU,2020-10-20,1898.4
AU,2020-10-19,1905.6
AU,2020-10-16,1905.05
AU,2020-10-15,1891.9
AU,2020-10-14,1910.05
AU,2020-10-13,1891.3
AU,2020-10-12,1925.5
AU,2020-10-09,1923.25
AU,2020-10-08,1887.45
AU,2020-10-07,1884.5
AU,2020-10-06,1913.4
AU,2020-10-05,1909.6
AU,2020-10-02,1903.05
AU,2020-10-01,1902.0
AU,2020-09-30,1886.9
AU,2020-09-29,1883.95
AU,2020-09-28,1864.3
AU,2020-09-25,1859.7
AU,2020-09-24,1861.75
AU,2020-09-23,1873.4
AU,2020-09-22,1906.0
AU,2020-09-21,1909.35
AU,2020-09-18,1950.85
AU,2020-09-17,1936.25
AU,2020-09-16,1961.8
AU,2020-09-15,1949.35
AU,2020-09-14,1958.7
AU,2020-09-11,1947.4
AU,2020-09-10,1966.25
AU,2020-09-09,1947.2
AU,2020-09-08,1910.95
AU,2020-09-07,1928.45
AU,2020-09-04,1926.3
AU,2020-09-03,1940.45
AU,2020-09-02,1947.05
AU,2020-09-01,1972.35
AU,2020-08-28,1957.35
AU,2020-08-27,1923.85
AU,2020-08-26,1932.95
AU,2020-08-25,1911.15
AU,2020-08-24,1943.95
AU,2020-08-21,1924.35
AU,2020-08-20,1927.15
AU,2020-08-19,1981.0
AU,2020-08-18,2008.75
AU,2020-08-17,1972.85
AU,2020-08-14,1944.75
AU,2020-08-13,1944.25
AU,2020-08-12,1931.9
AU,2020-08-11,1939.65
AU,2020-08-10,2044.5
AU,2020-08-07,2031.15
AU,2020-08-06,2067.15
AU,2020-08-05,2048.15
AU,2020-08-04,1977.9
AU,2020-08-03,1958.55
AU,2020-07-31,1964.9
AU,2020-07-30,1957.65
AU,2020-07-29,1950.9
AU,2020-07-28,1940.9
AU,2020-07-27,1936.65
AU,2020-07-24,1902.1
AU,2020-07-23,1878.3
AU,2020-07-22,1852.4
AU,2020-07-21,1842.55
AU,2020-07-20,1815.65
AU,2020-07-17,1807.35
AU,2020-07-16,1807.7
AU,2020-07-15,1804.6
AU,2020-07-14,1801.9
AU,2020-07-13,1807.5
AU,2020-07-10,1803.1
AU,2020-07-09,1812.1
AU,2020-07-08,1811.1
AU,2020-07-07,1789.55
AU,2020-07-06,1787.9
AU,2020-07-03,1772.9
AU,2020-07-02,1777.45
AU,2020-07-01,1771.05
AU,2020-06-30,1768.1
AU,2020-06-29,1771.6
AU,2020-06-26,1747.6
AU,2020-06-25,1756.55
AU,2020-06-24,1766.05
AU,2020-06-23,1768.9
AU,2020-06-22,1761.85
AU,2020-06-19,1734.75
AU,2020-06-18,1719.5
AU,2020-06-17,1724.35
AU,2020-06-16,1719.85
AU,2020-06-15,1710.45
AU,2020-06-12,1733.5
AU,2020-06-11,1738.25
AU,2020-06-10,1722.05
AU,2020-06-09,1713.5
AU,2020-06-08,1690.35
AU,2020-06-05,1683.45
AU,2020-06-04,1700.05
AU,2020-06-03,1705.35
AU,2020-06-02,1742.15
AU,2020-06-01,1730.6
AU,2020-05-29,1728.7
AU,2020-05-28,1717.35
AU,2020-05-27,1694.6
AU,2020-05-26,1720.25
AU,2020-05-22,1733.55
AU,2020-05-21,1724.9
AU,2020-05-20,1748.3
AU,2020-05-19,1737.95
AU,2020-05-18,1734.7
AU,2020-05-15,1735.35
AU,2020-05-14,1731.6
AU,2020-05-13,1708.4
AU,2020-05-12,1702.4
AU,2020-05-11,1702.75
AU,2020-05-07,1704.05
AU,2020-05-06,1691.5
AU,2020-05-05,1699.55
AU,2020-05-04,1709.1
AU,2020-05-01,1686.25
AU,2020-04-30,1702.75
AU,2020-04-29,1703.35
AU,2020-04-28,1691.55
AU,2020-04-27,1714.95
AU,2020-04-24,1715.9
AU,2020-04-23,1736.25
AU,2020-04-22,1710.55
AU,2020-04-21,1682.05
AU,2020-04-20,1686.2
AU,2020-04-17,1692.55
AU,2020-04-16,1729.5
AU,2020-04-15,1718.65
AU,2020-04-14,1741.9
AU,2020-04-09,1680.65
AU,2020-04-08,1647.8
AU,2020-04-07,1649.25
AU,2020-04-06,1648.3
AU,2020-04-03,1613.1
AU,2020-04-02,1616.8
AU,2020-04-01,1576.55
AU,2020-03-31,1608.95
AU,2020-03-30,1618.3
AU,2020-03-27,1617.3
AU,2020-03-26,1634.8
AU,2020-03-25,1605.45
AU,2020-03-24,1605.75
AU,2020-03-23,1525.4
AU,2020-03-20,1494.4
AU,2020-03-19,1474.25
AU,2020-03-18,1498.2
AU,2020-03-17,1536.2
AU,2020-03-16,1487.7
AU,2020-03-13,1562.8
AU,2020-03-12,1570.7
AU,2020-03-11,1653.75
AU,2020-03-10,1655.7
AU,2020-03-09,1672.5
AU,2020-03-06,1683.65
AU,2020-03-05,1659.6
AU,2020-03-04,1641.85
AU,2020-03-03,1615.5
AU,2020-03-02,1599.65
AU,2020-02-28,1609.85
AU,2020-02-27,1652.0
AU,2020-02-26,1634.9
AU,2020-02-25,1650.3
AU,2020-02-24,1671.65
AU,2020-02-21,1643.3
AU,2020-02-20,1619.0
AU,2020-02-19,1604.2
AU,2020-02-18,1589.85
AU,2020-02-17,1580.8
AU,2020-02-14,1581.4
AU,2020-02-13,1575.05
AU,2020-02-12,1563.7
AU,2020-02-11,1570.5
AU,2020-02-10,1573.2
AU,2020-02-07,1572.65
AU,2020-02-06,1563.3
AU,2020-02-05,1553.3
AU,2020-02-04,1558.35
AU,2020-02-03,1574.75
AU,2020-01-31,1584.2
AU,2020-01-30,1578.25
AU,2020-01-29,1573.45
AU,2020-01-28,1574.0
AU,2020-01-27,1580.1
AU,2020-01-24,1564.3
AU,2020-01-23,1562.9
AU,2020-01-22,1556.9
AU,2020-01-21,1551.3
AU,2020-01-20,1560.15
AU,2020-01-17,1557.6
AU,2020-01-16,1554.55
AU,2020-01-15,1549.0
AU,2020-01-14,1545.1
AU,2020-01-13,1549.9
AU,2020-01-10,1553.6
AU,2020-01-09,1550.75
AU,2020-01-08,1571.95
AU,2020-01-07,1567.85
AU,2020-01-06,1573.1
AU,2020-01-03,1548.75
AU,2020-01-02,1527.1
AU,2019-12-30,1514.75
AU,2019-12-27,1511.5
AU,2019-12-23,1482.1
AU,2019-12-20,1479.0
AU,2019-12-19,1476.7
AU,2019-12-18,1474.05
AU,2019-12-17,1475.8
AU,2019-12-16,1477.9
AU,2019-12-13,1466.6
AU,2019-12-12,1467.8
AU,2019-12-11,1466.8
AU,2019-12-10,1464.95
AU,2019-12-09,1461.7
AU,2019-12-06,1459.65
AU,2019-12-05,1475.95
AU,2019-12-04,1475.1
AU,2019-12-03,1477.3
AU,2019-12-02,1461.15
AU,2019-11-29,1460.15
AU,2019-11-28,1454.65
AU,2019-11-27,1454.35
AU,2019-11-26,1454.65
AU,2019-11-25,1458.4
AU,2019-11-22,1464.45
AU,2019-11-21,1467.05
AU,2019-11-20,1471.7
AU,2019-11-19,1468.45
AU,2019-11-18,1467.65
AU,2019-11-15,1466.9
AU,2019-11-14,1466.65
AU,2019-11-13,1462.9
AU,2019-11-12,1452.05
AU,2019-11-11,1458.7
AU,2019-11-08,1464.15
AU,2019-11-07,1484.25
AU,2019-11-06,1486.05
AU,2019-11-05,1488.95
AU,2019-11-04,1509.45
AU,2019-11-01,1508.8
AU,2019-10-31,1510.95
AU,2019-10-30,1492.1
AU,2019-10-29,1486.75
AU,2019-10-28,1492.4
AU,2019-10-25,1513.45
AU,2019-10-24,1496.55
AU,2019-10-23,1494.45
AU,2019-10-22,1485.35
AU,2019-10-21,1491.65
AU,2019-10-18,1490.0
AU,2019-10-17,1492.65
AU,2019-10-16,1485.1
AU,2019-10-15,1487.8
AU,2019-10-14,1490.6
AU,2019-10-11,1479.15
AU,2019-10-10,1494.8
AU,2019-10-09,1507.25
AU,2019-10-08,1505.85
AU,2019-10-07,1501.25
AU,2019-10-04,1499.15
AU,2019-10-03,1517.1
AU,2019-10-02,1492.6
AU,2019-10-01,1473.45
AU,2019-09-30,1485.3
AU,2019-09-27,1489.9
AU,2019-09-26,1506.4
AU,2019-09-25,1528.75
AU,2019-09-24,1520.65
AU,2019-09-23,1522.1
AU,2019-09-20,1501.9
AU,2019-09-19,1500.7
AU,2019-09-18,1503.5
AU,2019-09-17,1502.1
AU,2019-09-16,1497.2
AU,2019-09-13,1503.1
AU,2019-09-12,1515.2
AU,2019-09-11,1490.65
AU,2019-09-10,1498.25
AU,2019-09-09,1509.2
AU,2019-09-06,1523.7
AU,2019-09-05,1529.1
AU,2019-09-04,1546.1
AU,2019-09-03,1537.85
AU,2019-09-02,1525.95
AU,2019-08-30,1528.4
AU,2019-08-29,1540.2
AU,2019-08-28,1537.15
AU,2019-08-27,1532.95
AU,2019-08-23,1503.8
AU,2019-08-22,1502.05
AU,2019-08-21,1503.25
AU,2019-08-20,1504.55
AU,2019-08-19,1496.6
AU,2019-08-16,1515.25
AU,2019-08-15,1515.65
AU,2019-08-14,1513.25
AU,2019-08-13,1498.4
AU,2019-08-12,1504.7
AU,2019-08-09,1497.7
AU,2019-08-08,1495.75
AU,2019-08-07,1506.05
AU,2019-08-06,1465.25
AU,2019-08-05,1465.25
AU,2019-08-02,1441.75
AU,2019-08-01,1406.8
AU,2019-07-31,1427.55
AU,2019-07-30,1425.9
AU,2019-07-29,1419.05
AU,2019-07-26,1420.4
AU,2019-07-25,1416.1
AU,2019-07-24,1426.95
AU,2019-07-23,1425.55
AU,2019-07-22,1427.75
AU,2019-07-19,1439.7
AU,2019-07-18,1417.45
AU,2019-07-17,1410.35
AU,2019-07-16,1409.85
AU,2019-07-15,1412.4
AU,2019-07-12,1407.6
AU,2019-07-11,1413.75
AU,2019-07-10,1408.3
AU,2019-07-09,1391.55
AU,2019-07-08,1400.1
AU,2019-07-05,1388.65
AU,2019-07-04,1414.9
AU,2019-07-03,1413.5
AU,2019-07-02,1391.05
AU,2019-07-01,1390.1
AU,2019-06-28,1409.0
AU,2019-06-27,1402.5
AU,2019-06-26,1403.95
AU,2019-06-25,1431.4
AU,2019-06-24,1405.7
AU,2019-06-21,1397.15
AU,2019-06-20,1379.5
AU,2019-06-19,1344.05
AU,2019-06-18,1341.35
AU,2019-06-17,1341.3
AU,2019-06-14,1351.25
AU,2019-06-13,1335.9
AU,2019-06-12,1332.35
AU,2019-06-11,1324.3
AU,2019-06-10,1328.6
AU,2019-06-07,1340.65
AU,2019-06-06,1335.5
AU,2019-06-05,1335.05
AU,2019-06-04,1324.25
AU,2019-06-03,1317.1
AU,2019-05-31,1295.55
AU,2019-05-30,1280.95
AU,2019-05-29,1281.65
AU,2019-05-28,1278.3
AU,2019-05-24,1282.5
AU,2019-05-23,1283.65
AU,2019-05-22,1273.8
AU,2019-05-21,1271.15
AU,2019-05-20,1276.85
AU,2019-05-17,1280.8
AU,2019-05-16,1291.7
AU,2019-05-15,1299.1
AU,2019-05-14,1298.4
AU,2019-05-13,1295.6
AU,2019-05-10,1287.1
AU,2019-05-09,1286.1
AU,2019-05-08,1285.2
AU,2019-05-07,1281.2
AU,2019-05-03,1278.55
AU,2019-05-02,1270.95
AU,2019-05-01,1283.8
AU,2019-04-30,1282.3
AU,2019-04-29,1279.5
AU,2019-04-26,1284.2
AU,2019-04-25,1280.8
AU,2019-04-24,1271.65
AU,2019-04-23,1269.5
AU,2019-04-18,1275.7
AU,2019-04-17,1275.85
AU,2019-04-16,1276.35
AU,2019-04-15,1285.65
AU,2019-04-12,1294.3
AU,2019-04-11,1298.8
AU,2019-04-10,1305.45
AU,2019-04-09,1303.0
AU,2019-04-08,1300.0
AU,2019-04-05,1288.45
AU,2019-04-04,1283.15
AU,2019-04-03,1290.45
AU,2019-04-02,1290.3
AU,2019-04-01,1293.5
AU,2019-03-29,1295.4
AU,2019-03-28,1295.15
AU,2019-03-27,1309.7
AU,2019-03-26,1316.3
AU,2019-03-25,1319.55
AU,2019-03-22,1311.3
AU,2019-03-21,1309.6
AU,2019-03-20,1303.7
AU,2019-03-19,1307.7
AU,2019-03-18,1305.6
AU,2019-03-15,1303.5
AU,2019-03-14,1295.55
AU,2019-03-13,1306.95
AU,2019-03-12,1297.05
AU,2019-03-11,1292.75
AU,2019-03-08,1296.75
AU,2019-03-07,1285.3
AU,2019-03-06,1285.85
AU,2019-03-05,1283.8
AU,2019-03-04,1285.4
AU,2019-03-01,1311.95
