,Date,Price (USD)
PD,2020-11-10,2465.0
PD,2020-11-09,2475.0
PD,2020-11-06,2450.0
PD,2020-11-05,2404.0
PD,2020-11-04,2296.0
PD,2020-11-03,2301.0
PD,2020-11-02,2203.0
PD,2020-10-30,2228.0
PD,2020-10-29,2206.0
PD,2020-10-28,2225.0
PD,2020-10-27,2351.0
PD,2020-10-26,2364.0
PD,2020-10-23,2394.0
PD,2020-10-22,2362.0
PD,2020-10-21,2405.0
PD,2020-10-20,2352.0
PD,2020-10-19,2342.0
PD,2020-10-16,2331.0
PD,2020-10-15,2331.0
PD,2020-10-14,2358.0
PD,2020-10-13,2330.0
PD,2020-10-12,2437.0
PD,2020-10-09,2450.0
PD,2020-10-08,2400.0
PD,2020-10-07,2358.0
PD,2020-10-06,2370.0
PD,2020-10-05,2354.0
PD,2020-10-02,2312.0
PD,2020-10-01,2334.0
PD,2020-09-29,2275.0
PD,2020-09-28,2257.0
PD,2020-09-25,2204.0
PD,2020-09-24,2212.0
PD,2020-09-23,2245.0
PD,2020-09-22,2282.0
PD,2020-09-21,2316.0
PD,2020-09-18,2321.0
PD,2020-09-17,2343.0
PD,2020-09-16,2407.0
PD,2020-09-15,2343.0
PD,2020-09-14,2339.0
PD,2020-09-11,2301.0
PD,2020-09-10,2311.0
PD,2020-09-09,2270.0
PD,2020-09-08,2300.0
PD,2020-09-07,2310.0
PD,2020-09-04,2290.0
PD,2020-09-03,2353.0
PD,2020-09-02,2261.0
PD,2020-09-01,2317.0
PD,2020-08-28,2176.0
PD,2020-08-27,2168.0
PD,2020-08-26,2176.0
PD,2020-08-25,2163.0
PD,2020-08-24,2195.0
PD,2020-08-21,2190.0
PD,2020-08-20,2163.0
PD,2020-08-19,2165.0
PD,2020-08-18,2195.0
PD,2020-08-17,2202.0
PD,2020-08-14,2146.0
PD,2020-08-13,2190.0
PD,2020-08-12,2162.0
PD,2020-08-11,2113.0
PD,2020-08-10,2220.0
PD,2020-08-07,2150.0
PD,2020-08-06,2222.0
PD,2020-08-05,2178.0
PD,2020-08-04,2101.0
PD,2020-08-03,2120.0
PD,2020-07-31,2065.0
PD,2020-07-30,2055.0
PD,2020-07-29,2215.0
PD,2020-07-28,2267.0
PD,2020-07-27,2304.0
PD,2020-07-24,2185.0
PD,2020-07-23,2126.0
PD,2020-07-22,2142.0
PD,2020-07-21,2160.0
PD,2020-07-20,2040.0
PD,2020-07-17,2023.0
PD,2020-07-16,1992.0
PD,2020-07-15,1957.0
PD,2020-07-14,1978.0
PD,2020-07-13,1991.0
PD,2020-07-10,1944.0
