,Date,Price (USD)
PT,2020-11-10,870.0
PT,2020-11-09,866.0
PT,2020-11-06,911.0
PT,2020-11-05,897.0
PT,2020-11-04,873.0
PT,2020-11-03,875.0
PT,2020-11-02,855.0
PT,2020-10-30,852.0
PT,2020-10-29,860.0
PT,2020-10-28,862.0
PT,2020-10-27,880.0
PT,2020-10-26,878.0
PT,2020-10-23,917.0
PT,2020-10-22,870.0
PT,2020-10-21,894.0
PT,2020-10-20,868.0
PT,2020-10-19,868.0
PT,2020-10-16,870.0
PT,2020-10-15,846.0
PT,2020-10-14,873.0
PT,2020-10-13,869.0
PT,2020-10-12,885.0
PT,2020-10-09,892.0
PT,2020-10-08,871.0
PT,2020-10-07,868.0
PT,2020-10-06,878.0
PT,2020-10-05,888.0
PT,2020-10-02,891.0
PT,2020-10-01,898.0
PT,2020-09-30,884.0
PT,2020-09-29,880.0
PT,2020-09-28,862.0
PT,2020-09-25,841.0
PT,2020-09-24,831.0
PT,2020-09-23,852.0
PT,2020-09-22,878.0
PT,2020-09-21,907.0
PT,2020-09-18,939.0
PT,2020-09-17,940.0
PT,2020-09-16,971.0
PT,2020-09-15,975.0
PT,2020-09-14,947.0
PT,2020-09-11,929.0
PT,2020-09-10,930.0
PT,2020-09-09,916.0
PT,2020-09-08,901.0
PT,2020-09-07,898.0
PT,2020-09-04,903.0
PT,2020-09-03,898.0
PT,2020-09-02,920.0
PT,2020-09-01,956.0
PT,2020-08-28,930.0
PT,2020-08-27,930.0
PT,2020-08-26,916.0
PT,2020-08-25,930.0
PT,2020-08-24,930.0
PT,2020-08-21,900.0
PT,2020-08-20,916.0
PT,2020-08-19,946.0
PT,2020-08-18,957.0
PT,2020-08-17,950.0
PT,2020-08-14,952.0
PT,2020-08-13,948.0
PT,2020-08-12,940.0
PT,2020-08-11,944.0
PT,2020-08-10,986.0
PT,2020-08-07,979.0
PT,2020-08-06,976.0
PT,2020-08-05,965.0
PT,2020-08-04,911.0
PT,2020-08-03,909.0
PT,2020-07-31,905.0
PT,2020-07-30,890.0
PT,2020-07-29,940.0
PT,2020-07-28,943.0
PT,2020-07-27,928.0
PT,2020-07-24,925.0
PT,2020-07-23,906.0
PT,2020-07-22,892.0
PT,2020-07-21,873.0
PT,2020-07-20,845.0
PT,2020-07-17,824.0
PT,2020-07-16,822.0
PT,2020-07-15,833.0
PT,2020-07-14,823.0
PT,2020-07-13,845.0
PT,2020-07-10,835.0
PT,2020-07-09,856.0
PT,2020-07-08,844.0
PT,2020-07-07,830.0
PT,2020-07-06,827.0
PT,2020-07-03,808.0
PT,2020-07-02,813.0
PT,2020-07-01,823.0
PT,2020-06-30,814.0
PT,2020-06-29,812.0
PT,2020-06-26,799.0
PT,2020-06-25,797.0
PT,2020-06-24,811.0
PT,2020-06-23,822.0
PT,2020-06-22,820.0
PT,2020-06-19,820.0
PT,2020-06-18,814.0
PT,2020-06-17,819.0
PT,2020-06-16,823.0
