,Date,Price (USD)
AG,11/6/2020,25.78
AG,11/5/2020,24.57
AG,11/4/2020,23.975
AG,11/3/2020,24.17
AG,11/2/2020,23.975
AG,10/30/2020,23.625
AG,10/29/2020,23.015
AG,10/28/2020,23.925
AG,10/27/2020,24.435
AG,10/26/2020,24.28
AG,10/23/2020,24.76
AG,10/22/2020,24.915
AG,10/21/2020,25.02
AG,10/20/2020,24.63
AG,10/19/2020,24.84
AG,10/16/2020,24.36
AG,10/15/2020,23.935
AG,10/14/2020,24.175
AG,10/13/2020,24.935
AG,10/12/2020,25.06
AG,10/9/2020,24.315
AG,10/8/2020,23.96
AG,10/7/2020,23.53
AG,10/6/2020,24.3
AG,10/5/2020,23.915
AG,10/2/2020,23.865
AG,10/1/2020,23.62
AG,9/30/2020,23.725
AG,9/29/2020,23.835
AG,9/28/2020,22.89
AG,9/25/2020,22.63
AG,9/24/2020,22.22
AG,9/23/2020,23.595
AG,9/22/2020,24.3
AG,9/21/2020,26.36
AG,9/18/2020,27.06
AG,9/17/2020,26.745
AG,9/16/2020,27.38
AG,9/15/2020,27.545
AG,9/14/2020,26.885
AG,9/11/2020,26.875
AG,9/10/2020,27.105
AG,9/9/2020,26.535
AG,9/8/2020,26.675
AG,9/7/2020,26.83
AG,9/4/2020,26.815
AG,9/3/2020,26.9
AG,9/2/2020,27.705
AG,9/1/2020,28.885
AG,8/28/2020,27.35
AG,8/27/2020,27.245
AG,8/26/2020,26.395
AG,8/25/2020,26.495
AG,8/24/2020,26.885
AG,8/21/2020,26.85
AG,8/20/2020,26.915
AG,8/19/2020,27.44
AG,8/18/2020,28.325
AG,8/17/2020,26.915
AG,8/14/2020,26.705
AG,8/13/2020,26.25
AG,8/12/2020,25.81
AG,8/11/2020,28.28
AG,8/10/2020,28.27
AG,8/7/2020,28.33
AG,8/6/2020,27.885
AG,8/5/2020,26.945
AG,8/4/2020,24.33
AG,8/3/2020,24.23
AG,7/31/2020,24.07
AG,7/30/2020,23.16
AG,7/29/2020,24.335
AG,7/28/2020,23.545
AG,7/27/2020,24.375
AG,7/24/2020,22.475
AG,7/23/2020,22.86
AG,7/22/2020,22.245
AG,7/21/2020,20.555
AG,7/20/2020,19.44
AG,7/17/2020,19.16
AG,7/16/2020,19.245
AG,7/15/2020,19.33
AG,7/14/2020,18.895
AG,7/13/2020,19.095
AG,7/10/2020,18.77
AG,7/9/2020,18.835
AG,7/8/2020,18.485
AG,7/7/2020,18.02
AG,7/6/2020,18.255
AG,7/3/2020,18.02
AG,7/2/2020,17.925
AG,7/1/2020,18.22
AG,6/30/2020,17.845
AG,6/29/2020,17.905
AG,6/26/2020,17.83
AG,6/25/2020,17.53
AG,6/24/2020,17.855
AG,6/23/2020,17.81
AG,6/22/2020,17.86
AG,6/19/2020,17.525
AG,6/18/2020,17.615
AG,6/17/2020,17.47
AG,6/16/2020,17.41
AG,6/15/2020,17.085
AG,6/12/2020,17.625
AG,6/11/2020,17.875
AG,6/10/2020,17.715
AG,6/9/2020,17.63
AG,6/8/2020,17.63
AG,6/5/2020,17.58
AG,6/4/2020,17.75
AG,6/3/2020,17.86
AG,6/2/2020,18.27
AG,6/1/2020,18.16
AG,5/29/2020,17.59
AG,5/28/2020,17.34
AG,5/27/2020,17.19
AG,5/26/2020,17.3
AG,5/22/2020,17
AG,5/21/2020,17.205
AG,5/20/2020,17.47
AG,5/19/2020,17.12
AG,5/18/2020,17.35
AG,5/15/2020,16.25
AG,5/14/2020,15.53
AG,5/13/2020,15.56
AG,5/12/2020,15.485
AG,5/11/2020,15.445
AG,5/7/2020,14.98
AG,5/6/2020,15.075
AG,5/5/2020,14.75
AG,5/4/2020,14.93
AG,5/1/2020,14.845
AG,4/30/2020,15.335
AG,4/29/2020,15.165
AG,4/28/2020,15.145
AG,4/27/2020,15.205
AG,4/24/2020,15.315
AG,4/23/2020,15.305
AG,4/22/2020,14.91
AG,4/21/2020,14.97
AG,4/20/2020,15.15
AG,4/17/2020,15.16
AG,4/16/2020,15.5
AG,4/15/2020,15.57
AG,4/14/2020,15.51
AG,4/9/2020,15.175
AG,4/8/2020,15.065
AG,4/7/2020,15.075
AG,4/6/2020,14.555
AG,4/3/2020,14.39
AG,4/2/2020,14.175
AG,4/1/2020,14.015
AG,3/31/2020,13.93
AG,3/30/2020,14.055
AG,3/27/2020,14.315
AG,3/26/2020,14.415
AG,3/25/2020,13.965
AG,3/24/2020,13.625
AG,3/23/2020,12.51
AG,3/20/2020,12.63
AG,3/19/2020,12.005
AG,3/18/2020,12.42
AG,3/17/2020,12.44
AG,3/16/2020,12.965
AG,3/13/2020,15.77
AG,3/12/2020,16.525
AG,3/11/2020,17.02
AG,3/10/2020,17.07
AG,3/9/2020,16.885
AG,3/6/2020,17.48
AG,3/5/2020,17.2
AG,3/4/2020,17.25
AG,3/3/2020,16.81
AG,3/2/2020,16.915
AG,2/28/2020,17.185
AG,2/27/2020,18.05
AG,2/26/2020,18.075
AG,2/25/2020,18.33
AG,2/24/2020,18.775
AG,2/21/2020,18.56
AG,2/20/2020,18.385
AG,2/19/2020,18.345
AG,2/18/2020,17.885
AG,2/17/2020,17.8
AG,2/14/2020,17.705
AG,2/13/2020,17.64
AG,2/12/2020,17.56
AG,2/11/2020,17.705
AG,2/10/2020,17.785
AG,2/7/2020,17.77
AG,2/6/2020,17.765
AG,2/5/2020,17.62
AG,2/4/2020,17.73
AG,2/3/2020,17.77
AG,1/31/2020,17.885
AG,1/30/2020,17.725
AG,1/29/2020,17.47
AG,1/28/2020,17.975
AG,1/27/2020,18.295
AG,1/24/2020,17.83
AG,1/23/2020,17.6
AG,1/22/2020,17.77
AG,1/21/2020,17.985
AG,1/20/2020,18.055
AG,1/17/2020,18.06
AG,1/16/2020,18.01
AG,1/15/2020,17.85
AG,1/14/2020,17.77
AG,1/13/2020,17.985
AG,1/10/2020,17.915
AG,1/9/2020,17.91
AG,1/8/2020,18.42
AG,1/7/2020,18.145
AG,1/6/2020,18.44
AG,1/3/2020,18.21
AG,1/2/2020,17.925
AG,12/31/2019,18.045
AG,12/30/2019,17.825
AG,12/27/2019,17.825
AG,12/24/2019,17.585
AG,12/23/2019,17.375
AG,12/20/2019,17.035
AG,12/19/2019,16.94
AG,12/18/2019,16.995
AG,12/17/2019,17.06
AG,12/16/2019,17.02
AG,12/13/2019,16.935
AG,12/12/2019,16.865
AG,12/11/2019,16.66
AG,12/10/2019,16.675
AG,12/9/2019,16.62
AG,12/6/2019,16.94
AG,12/5/2019,16.87
AG,12/4/2019,17.13
AG,12/3/2019,17.01
AG,12/2/2019,16.875
AG,11/29/2019,16.965
AG,11/28/2019,16.945
AG,11/27/2019,17.055
AG,11/26/2019,16.935
AG,11/25/2019,16.87
AG,11/22/2019,17.175
AG,11/21/2019,17.09
AG,11/20/2019,17.115
AG,11/19/2019,17.125
AG,11/18/2019,16.795
AG,11/15/2019,16.87
AG,11/14/2019,17.035
AG,11/13/2019,16.95
AG,11/12/2019,16.735
AG,11/11/2019,16.88
AG,11/8/2019,16.81
AG,11/7/2019,17.53
AG,11/6/2019,17.54
AG,11/5/2019,18.045
AG,11/4/2019,18.185
AG,11/1/2019,18.12
AG,10/31/2019,18.055
AG,10/30/2019,17.955
AG,10/29/2019,17.66
AG,10/28/2019,18.055
AG,10/25/2019,18.125
AG,10/24/2019,17.53
AG,10/23/2019,17.535
AG,10/22/2019,17.625
AG,10/21/2019,17.725
AG,10/18/2019,17.435
AG,10/17/2019,17.45
AG,10/16/2019,17.255
AG,10/15/2019,17.67
AG,10/14/2019,17.605
AG,10/11/2019,17.6
AG,10/10/2019,17.75
AG,10/9/2019,17.78
AG,10/8/2019,17.555
AG,10/7/2019,17.425
AG,10/4/2019,17.605
AG,10/3/2019,17.6
AG,10/2/2019,17.26
AG,10/1/2019,17.11
AG,9/30/2019,17.255
AG,9/27/2019,17.52
AG,9/26/2019,17.97
AG,9/25/2019,18.57
AG,9/24/2019,18.56
AG,9/23/2019,18.38
AG,9/20/2019,17.88
AG,9/19/2019,17.755
AG,9/18/2019,17.85
AG,9/17/2019,17.84
AG,9/16/2019,17.835
AG,9/13/2019,18.145
AG,9/12/2019,18.19
AG,9/11/2019,18.165
AG,9/10/2019,17.99
AG,9/9/2019,18.17
AG,9/6/2019,18.145
AG,9/5/2019,19.22
AG,9/4/2019,19.305
AG,9/3/2019,18.475
AG,9/2/2019,18.35
AG,8/30/2019,18.385
AG,8/29/2019,18.48
AG,8/28/2019,18.365
AG,8/27/2019,17.725
AG,8/23/2019,17.05
AG,8/22/2019,16.96
AG,8/21/2019,17.11
AG,8/20/2019,17.02
AG,8/19/2019,16.925
AG,8/16/2019,17.16
AG,8/15/2019,17.29
AG,8/14/2019,17.115
AG,8/13/2019,17.445
AG,8/12/2019,16.955
AG,8/9/2019,17
AG,8/8/2019,17.02
AG,8/7/2019,16.82
AG,8/6/2019,16.385
AG,8/5/2019,16.485
AG,8/2/2019,16.195
AG,8/1/2019,16.005
AG,7/31/2019,16.475
AG,7/30/2019,16.455
AG,7/29/2019,16.39
AG,7/26/2019,16.44
AG,7/25/2019,16.535
AG,7/24/2019,16.535
AG,7/23/2019,16.43
AG,7/22/2019,16.385
